time	count
7111214.00	0.00
7111261.00	1.00
7111273.00	0.00
7111320.00	1.00
7111331.00	0.00
7111379.00	1.00
7111391.00	0.00
7111445.00	1.00
7111457.00	0.00
7111505.00	1.00
7111516.00	0.00
7111564.00	1.00
7111575.00	0.00
7111624.00	1.00
7111635.00	0.00
7111683.00	1.00
7111694.00	0.00
7111744.00	1.00
7111760.00	0.00
7111810.00	1.00
7112224.00	0.00
7112286.00	1.00
7112301.00	0.00
7112353.00	1.00
7112364.00	0.00
7112422.00	1.00
7112434.00	0.00
7112484.00	1.00
7112496.00	0.00
7112544.00	1.00
7112555.00	0.00
7112602.00	1.00
7112614.00	0.00
7112662.00	1.00
7112674.00	0.00
7112722.00	1.00
7112732.00	0.00
7112780.00	1.00
7112791.00	0.00
7112847.00	1.00
7112858.00	0.00
7112907.00	1.00
