time	count
5639487.00	0.25
5639501.00	0.00
5639540.00	0.25
5639542.00	0.00
5639622.00	0.25
5639635.00	0.00
5639688.00	0.25
5639700.00	0.00
5639751.00	0.25
5639765.00	0.00
5639813.00	0.25
5639817.00	0.00
5639884.00	0.25
5639898.00	0.00
5639935.00	0.25
5639938.00	0.00
5640017.00	0.25
5640030.00	0.00
5640070.00	0.25
5640073.00	0.00
5640150.00	0.25
5640163.00	0.00
5640201.00	0.25
5640208.00	0.00
5640285.00	0.25
5640299.00	0.00
5640336.00	0.25
5640339.00	0.00
5640423.00	0.25
5640436.00	0.00
5640473.00	0.25
5640476.00	0.00
5640553.00	0.25
5640567.00	0.00
5640604.00	0.25
5640606.00	0.00
5640687.00	0.25
5640700.00	0.00
5640737.00	0.25
5640740.00	0.00
5640823.00	0.25
5640837.00	0.00
5640879.00	0.25
5640886.00	0.00
5640960.00	0.25
5640973.00	0.00
5641010.00	0.25
5641012.00	0.00
5641095.00	0.25
5641108.00	0.00
5641146.00	0.25
5641149.00	0.00
5641228.00	0.25
5641241.00	0.00
5641278.00	0.25
5641281.00	0.00
5641367.00	0.25
5641380.00	0.00
5641421.00	0.25
5641424.00	0.00
5641501.00	0.25
5641514.00	0.00
5641560.00	0.25
5641565.00	0.00
5641637.00	0.25
5641650.00	0.00
5641697.00	0.25
5641701.00	0.00
5641771.00	0.25
5641784.00	0.00
5641822.00	0.25
5641828.00	0.00
5641907.00	0.25
5641920.00	0.00
5641965.00	0.25
5641968.00	0.00
5642040.00	0.25
5642053.00	0.00
5642090.00	0.25
5642093.00	0.00
5642172.00	0.25
5642185.00	0.00
5642222.00	0.25
5642225.00	0.00
5642298.00	0.25
5642311.00	0.00
5642349.00	0.25
5642352.00	0.00
5642462.00	0.25
5642477.00	0.00
5642517.00	0.25
5642520.00	0.00
5642590.00	0.25
5642603.00	0.00
5642641.00	0.25
5642649.00	0.00
5642725.00	0.25
5642738.00	0.00
5642775.00	0.25
5642777.00	0.00
5642860.00	0.25
5642873.00	0.00
5642910.00	0.25
5642913.00	0.00
5642992.00	0.25
5643005.00	0.00
5643043.00	0.25
5643045.00	0.00
5643120.00	0.25
5643133.00	0.00
5643170.00	0.25
5643173.00	0.00
5643283.00	0.25
5643305.00	0.00
5643392.00	0.50
5643401.00	0.25
5643415.00	0.00
5643473.00	0.25
5643477.00	0.00
5643540.00	0.25
5643554.00	0.00
5643620.00	0.25
5643628.00	0.00
5643678.00	0.25
5643694.00	0.00
5643743.00	0.25
5643748.00	0.00
5643810.00	0.25
5643824.00	0.00
5643865.00	0.25
5643871.00	0.00
5643937.00	0.25
5643951.00	0.00
5643989.00	0.25
5643992.00	0.00
5644071.00	0.25
5644085.00	0.00
5644123.00	0.25
5644126.00	0.00
5644204.00	0.25
5644218.00	0.00
5644255.00	0.25
5644258.00	0.00
5644338.00	0.25
5644351.00	0.00
5644388.00	0.25
5644391.00	0.00
5644475.00	0.25
5644488.00	0.00
5644526.00	0.25
5644535.00	0.00
5644612.00	0.25
5644625.00	0.00
5644664.00	0.25
5644666.00	0.00
5644744.00	0.25
5644758.00	0.00
5644795.00	0.25
5644798.00	0.00
5644894.00	0.25
5644917.00	0.00
5644980.00	0.25
5644988.00	0.00
5645020.00	0.25
5645040.00	0.00
5645097.00	0.25
5645100.00	0.00
5645151.00	0.25
5645166.00	0.00
5645218.00	0.25
